Label 116.90\5.40 123.60\6.19 126.30\7.08  25.50\3.38
C3-H4      90.23%       8.52%       1.25%       0.00%
C6-H6       0.21%      11.68%      88.10%       0.00%
C7-H7       9.56%      79.79%      10.65%       0.00%
C8-H8       0.00%       0.00%       0.00%     100.00%

