Label  25.50\3.38 116.90\5.40 123.60\6.19 126.30\7.08
C3-H4       0.00%      65.04%      29.46%       5.50%
C6-H6       0.00%       0.91%      41.63%      57.46%
C7-H7       0.00%      16.47%      70.63%      12.90%
C8-H8     100.00%       0.00%       0.00%       0.00%
