Label   29.90  140.80  146.10  150.80  155.00  105.80
   C1 100.00%   0.00%   0.00%   0.00%   0.00%   0.00%
   C2   0.00%  13.10%  35.19%  29.21%  22.50%   0.00%
   C3   0.00%   0.00%   0.00%   0.00%   0.00% 100.00%
   C4   0.00%   1.90%  14.13%  30.91%  53.06%   0.00%
   C5   0.00%   7.16%  34.32%  35.44%  23.08%   0.00%
   C6 100.00%   0.00%   0.00%   0.00%   0.00%   0.00%
   C7   0.00%  77.85%  16.36%   4.45%   1.35%   0.00%

