Label  18.70\0.42  23.60\1.45 116.90\5.40 123.60\6.19 126.30\7.08  25.50\3.38
C1-H1      11.69%      88.31%       0.00%       0.00%       0.00%       0.00%
C3-H4       0.00%       0.00%     100.00%       0.00%       0.00%       0.00%
C6-H6       0.00%       0.00%       0.00%      86.31%      13.69%       0.00%
C7-H7       0.00%       0.00%       0.00%      13.69%      86.31%       0.00%
C8-H8       0.00%       0.00%       0.00%       0.00%       0.00%     100.00%

        Label 18.70\0.42/26.10\1.05 23.60\1.45/26.10\1.05
C9-H9/C10-H12                88.31%                11.69%

