Label  116.90  123.60  126.30   25.50
   C3  74.26%  19.84%   5.90%   0.00%
   C6   0.33%  13.30%  86.37%   0.00%
   C7  25.41%  66.86%   7.73%   0.00%
   C8   0.00%   0.00%   0.00% 100.00%

