Label   25.50  116.90  123.60  126.30
   C3   0.00%  82.34%  13.40%   4.26%
   C6   0.00%   0.71%  30.39%  68.90%
   C7   0.00%   0.00%  11.12%  88.88%
   C8 100.00%   0.00%   0.00%   0.00%
